alpha,c_l,c_d,c_m,converged
10.01,0.5015,0.1572,0.002552,1.0
10.02,0.5015,0.1573,0.0025,1.0
10.03,1.333,0.09436,-0.12396,0.0
10.04,0.502,0.1576,0.002398,1.0
10.05,0.502,0.1577,0.002346,1.0
10.06,0.5024,0.1578,0.002296,1.0
10.07,0.5024,0.158,0.002245,1.0
10.08,0.5024,0.1581,0.002193,1.0
10.09,0.503,0.1582,0.002142,1.0
10.1,0.503,0.1583,0.00209,1.0
10.11,0.5034,0.1584,0.00204,1.0
10.12,0.5034,0.1586,0.00199,1.0
10.13,0.5034,0.1587,0.001938,1.0
10.14,0.504,0.1588,0.001886,1.0
10.15,0.504,0.1589,0.001835,1.0
10.16,0.504,0.159,0.001784,1.0
10.17,0.5044,0.1592,0.001733,1.0
10.18,0.5044,0.1593,0.001681,1.0
10.19,1.609,0.1011,-0.1626,0.0
10.2,0.505,0.1595,0.001579,1.0
10.21,0.505,0.1597,0.001528,1.0
10.22,0.5054,0.1598,0.001477,1.0
10.23,0.5054,0.1599,0.001426,1.0
10.24,0.5054,0.16,0.001374,1.0
10.25,0.506,0.1602,0.001324,1.0
10.26,0.506,0.1603,0.001272,1.0
10.27,0.51,0.1598,0.00216,1.0
10.28,0.51,0.1599,0.002113,1.0
10.29,0.5103,0.16,0.002066,1.0
10.3,0.5103,0.1602,0.002016,1.0
10.31,0.5103,0.1603,0.001966,1.0
10.32,0.5107,0.1604,0.001916,1.0
10.33,0.5107,0.1605,0.001865,1.0
10.34,0.511,0.1606,0.001815,1.0
10.35,0.511,0.1608,0.001764,1.0
10.36,0.511,0.1609,0.001714,1.0
10.37,0.5117,0.161,0.001663,1.0
10.38,0.5117,0.1611,0.001612,1.0
10.39,0.512,0.1613,0.001561,1.0
10.4,0.512,0.1614,0.00151,1.0
10.41,0.512,0.1615,0.001459,1.0
10.42,0.5127,0.1616,0.001408,1.0
10.43,0.5127,0.1617,0.001357,1.0
10.44,0.5127,0.1619,0.001306,1.0
10.45,0.513,0.162,0.001255,1.0
10.46,0.513,0.1621,0.001204,1.0
10.47,0.5137,0.1622,0.001152,1.0
10.48,0.5137,0.1624,0.001101,1.0
10.49,0.5137,0.1625,0.00105,1.0
10.5,0.514,0.1626,0.0009985,1.0
10.51,0.514,0.1627,0.000947,1.0
10.52,0.5146,0.1628,0.000896,1.0
10.53,0.5146,0.163,0.0008445,1.0
10.54,0.5146,0.1631,0.000793,1.0
10.55,0.515,0.1632,0.000742,1.0
10.56,0.515,0.1633,0.0006905,1.0
10.57,0.5156,0.1635,0.000639,1.0
10.58,0.5156,0.1636,0.0005875,1.0
10.59,0.5156,0.1637,0.0005364,1.0
10.6,0.516,0.1638,0.000485,1.0
10.61,0.516,0.164,0.0004334,1.0
10.62,0.5166,0.164,0.0003822,1.0
10.63,0.5166,0.1641,0.0003307,1.0
10.64,0.5166,0.1642,0.0002792,1.0
10.65,0.517,0.1643,0.0002278,1.0
10.66,0.517,0.1644,0.0001764,1.0
10.67,0.5176,0.1646,0.0001249,1.0
10.68,0.5176,0.1647,7.355e-5,1.0
10.69,0.5176,0.1648,2.21e-5,1.0
10.7,0.518,0.1649,-2.93e-5,1.0
10.71,0.518,0.165,-8.076e-5,1.0
10.72,0.5186,0.1652,-0.0001322,1.0
10.73,0.5186,0.1653,-0.0001837,1.0
10.74,0.5186,0.1654,-0.0002352,1.0
10.75,0.519,0.1655,-0.0002866,1.0
10.76,0.519,0.1656,-0.000338,1.0
10.77,0.5195,0.1658,-0.0003896,1.0
10.78,0.5195,0.1659,-0.000441,1.0
10.79,0.5195,0.166,-0.0004926,1.0
