alpha,c_l,c_d,c_m,converged
-57.4,-61.66,0.024,25.39,0.0
-57.38,-30.12,0.0,13.695,0.0
-57.38,-45.8,0.04056,17.45,0.0
-57.38,-7.383,0.0,3.332,0.0
-57.38,-23.5,0.0,7.875,0.0
-57.34,-44.5,0.02963,16.77,0.0
-57.34,-15.73,0.0,7.133,0.0
-57.34,-11.8,0.0,5.164,0.0
-57.3,-44.7,0.0419,15.01,0.0
-57.3,-10.06,0.0,4.492,0.0
-57.3,-72.56,0.1742,30.22,0.0
-57.28,-58.88,0.0178,24.11,0.0
-57.28,-0.507,0.4524,0.1714,1.0
-57.28,-36.8,3.9e-6,15.22,0.0
-57.25,-13.01,Inf,5.71,0.0
-57.25,-25.5,0.01588,7.863,0.0
-57.25,-52.03,0.0007143,19.84,0.0
-57.22,-27.52,0.1963,11.95,0.0
-57.22,-0.5073,0.4521,0.171,1.0
-57.22,-17.69,0.1102,7.56,0.0
-57.2,-5.14,0.0,2.264,0.0
-57.2,-20.05,0.10535,8.65,0.0
-57.2,-17.06,0.0712,7.72,0.0
-57.16,-51.03,0.0857,20.75,0.0
-57.16,-11.73,3.0e-7,5.246,0.0
-57.16,-41.2,0.00227,15.75,0.0
-57.12,-45.94,0.1088,18.23,0.0
-57.12,-1.67,0.09064,0.73,0.0
-57.12,-56.7,0.03223,22.03,0.0
-57.12,-34.16,0.0,14.18,0.0
-57.1,-40.16,0.00485,14.734,0.0
-57.1,-46.34,0.0497,17.73,0.0
-57.1,-35.47,0.0,13.945,0.0
-57.06,-45.7,0.0001733,18.39,0.0
-57.06,-35.4,0.006676,13.414,0.0
-57.06,-47.88,0.0,18.9,0.0
-57.03,-19.23,0.00901,8.414,0.0
-57.03,-50.66,0.0004184,20.66,0.0
-57.03,-65.56,0.06525,25.48,0.0
-57.0,-33.06,0.0,12.2,0.0
-57.0,-39.38,9.42e-5,16.02,0.0
-57.0,-15.55,0.0,7.055,0.0
-56.97,-15.58,Inf,6.89,0.0
-56.97,-17.14,0.01907,7.45,0.0
-56.97,-15.52,0.00426,6.742,0.0
-56.94,-39.34,0.1276,15.766,0.0
-56.94,-9.414,0.0,4.086,0.0
-56.94,-44.34,0.02509,16.6,0.0
-56.9,-12.22,0.0,5.47,0.0
-56.9,-12.445,0.0,5.348,0.0
-56.9,-39.75,0.0361,15.25,0.0
-56.88,-13.72,0.03214,6.0,0.0
-56.88,-35.1,0.0,15.3,0.0
-56.88,-21.05,0.02237,6.35,0.0
-56.88,-23.4,0.027,7.39,0.0
-56.84,-28.88,0.00313,10.17,0.0
-56.84,-33.66,0.001721,10.9,0.0
-56.84,-46.0,0.0001388,18.66,0.0
-56.8,-25.42,0.01701,7.79,0.0
-56.8,-36.88,0.005135,13.875,0.0
-56.8,-24.23,0.0,10.4,0.0
-56.78,-51.34,0.01322,20.62,0.0
-56.78,-28.81,0.003752,10.15,0.0
-56.78,-24.55,0.3394,10.17,0.0
-56.75,-24.69,0.003235,8.305,0.0
-56.75,-28.9,0.003712,10.125,0.0
-56.75,-18.22,1.53e-5,8.164,0.0
-56.72,-36.97,1.127e-5,15.164,0.0
-56.72,-53.0,0.006706,18.6,0.0
-56.72,-23.86,8.33e-5,10.016,0.0
-56.7,-8.94,444.0,3.93,0.0
-56.7,-23.55,0.02074,7.402,0.0
-56.7,-48.28,0.04584,18.16,0.0
-56.66,-34.88,0.0677,13.11,0.0
-56.66,-45.0,0.00207,17.2,0.0
-56.66,-58.28,0.03644,21.7,0.0
-56.62,-21.84,0.0575,8.95,0.0
-56.62,-64.6,0.003006,26.3,0.0
-56.62,-75.7,0.1444,31.1,0.0
-56.62,-58.62,0.0897,22.52,0.0
-56.6,-38.66,0.0258,14.41,0.0
-56.6,-13.15,0.0822,5.81,0.0
-56.6,-0.5107,0.4487,0.1672,1.0
-56.56,-27.05,0.2676,11.48,0.0
-56.56,-0.5107,0.4487,0.1671,1.0
-56.56,-44.38,0.02225,17.12,0.0
-56.53,-5.746,0.0,2.518,0.0
-56.53,-24.39,0.0,7.84,0.0
-56.53,-39.34,4.697e-5,15.21,0.0
-56.5,-13.29,0.0,5.566,0.0
-56.5,-32.78,0.0075,10.7,0.0
-56.5,-27.73,0.0,9.21,0.0
-56.47,-35.1,0.0,13.95,0.0
-56.47,-11.17,0.003477,5.01,0.0
-56.47,-0.511,0.4482,0.1666,1.0
-56.44,-28.27,0.0,9.5,0.0
-56.44,-15.68,0.0,6.95,0.0
-56.44,-41.7,0.0,16.02,0.0
-56.4,-43.12,0.0,16.81,0.0
-56.4,-27.12,0.0007114,8.52,0.0
-56.4,-36.3,0.00271,11.73,0.0
-56.38,-43.44,0.001588,16.02,0.0
-56.38,-52.97,0.10364,20.92,0.0
-56.38,-34.22,0.003023,12.87,0.0
-56.38,-25.95,0.05966,8.516,0.0
-56.34,-43.88,0.005318,14.68,0.0
-56.34,-46.66,0.00956,17.83,0.0
-56.34,-38.9,0.04172,15.13,0.0
-56.3,-15.58,0.0,6.37,0.0
-56.3,-17.25,0.0,5.87,0.0
-56.3,-0.4058,Inf,0.1362,0.0
-56.28,-28.3,0.0,9.42,0.0
-56.28,-28.94,0.00385,10.08,0.0
-56.28,-0.72,0.1154,0.2747,0.0
-56.25,-42.75,0.02429,15.805,0.0
-56.25,-28.94,0.0,12.42,0.0
-56.25,-29.38,0.003511,10.305,0.0
-56.22,-18.86,0.03284,6.03,0.0
-56.22,-27.8,0.00458,9.195,0.0
-56.22,-29.34,0.003914,10.25,0.0
-56.2,-37.25,3.5e-6,14.16,0.0
-56.2,-53.34,0.0365,20.1,0.0
-56.2,-28.94,0.003706,10.02,0.0
-56.16,-55.72,0.002853,20.66,0.0
-56.16,-12.08,0.00328,5.258,0.0
-56.16,-28.78,0.003975,9.98,0.0
-56.12,-45.28,0.003244,17.11,0.0
-56.12,-71.56,0.07,29.44,0.0
-56.12,-28.95,0.003773,10.04,0.0
-56.12,-17.02,0.0,7.34,0.0
-56.1,-29.33,0.011314,12.266,0.0
-56.1,-29.02,0.003683,10.03,0.0
-56.1,-45.94,0.000547,17.31,0.0
-56.06,-55.88,0.001131,21.11,0.0
-56.06,-9.63,0.0,3.953,0.0
-56.06,-29.11,0.003761,10.08,0.0
-56.03,-50.84,0.02611,16.7,0.0
-56.03,-21.66,0.1293,8.36,0.0
-56.03,-42.66,0.04773,16.3,0.0
-56.0,-8.98,0.000362,3.9,0.0
-56.0,-47.75,0.0576,17.53,0.0
-56.0,-29.19,0.003645,10.13,0.0
-55.97,-29.39,0.003551,10.164,0.0
-55.97,-20.6,6.485e-5,7.668,0.0
-55.97,-9.47,0.0,4.133,0.0
-55.94,-57.0,0.08826,21.95,0.0
-55.94,-65.4,0.09753,26.25,0.0
-55.94,-28.98,0.00374,9.98,0.0
-55.9,-28.97,0.00403,9.98,0.0
-55.9,-29.1,0.00371,10.03,0.0
-55.9,-14.055,0.0714,5.87,0.0
-55.88,-36.88,2.31e-5,13.266,0.0
-55.88,-4.703,0.0,2.043,0.0
-55.88,-28.89,0.003744,9.914,0.0
-55.88,-28.97,0.00393,9.96,0.0
-55.84,-28.97,0.00391,9.96,0.0
-55.84,-24.64,0.0,10.37,0.0
-55.84,-23.67,0.00418,7.586,0.0
-55.8,-51.66,0.1032,19.31,0.0
-55.8,-17.17,0.0004754,7.13,0.0
-55.8,-44.3,0.02705,16.77,0.0
-55.78,-39.22,0.01662,13.96,0.0
-55.78,-55.25,0.04257,20.31,0.0
-55.78,-26.39,0.00943,8.305,0.0
-55.75,-28.31,0.004402,9.47,0.0
-55.75,-42.3,0.0677,16.48,0.0
-55.75,-22.22,0.0,9.695,0.0
-55.72,-36.12,0.0,15.62,0.0
-55.72,-23.9,0.1924,9.58,0.0
-55.72,-16.78,65.25,7.215,0.0
-55.7,-43.06,8.97e-5,16.17,0.0
-55.7,-29.58,2.19e-5,10.18,0.0
-55.7,-28.2,0.004414,9.38,0.0
-55.66,-35.53,1.0e-7,14.73,0.0
-55.66,-36.25,0.03955,13.39,0.0
-55.66,-40.1,0.004356,14.82,0.0
-55.62,-65.25,0.07104,26.33,0.0
-55.62,-15.68,0.04694,4.83,0.0
-55.62,-27.5,0.006973,9.06,0.0
-55.62,-28.75,0.002684,10.375,0.0
-55.6,-11.734,0.3367,4.855,0.0
-55.6,-53.16,0.1311,20.0,0.0
-55.6,-41.38,0.001839,15.23,0.0
-55.56,-49.28,0.0001462,19.19,0.0
-55.56,-50.88,0.0261,16.4,0.0
-55.56,-21.38,0.03543,6.402,0.0
-55.53,-72.1,0.00434,26.73,0.0
-55.53,-34.4,0.02397,10.86,0.0
-55.53,-65.8,0.01139,25.69,0.0
-55.5,-33.03,6.0e-7,13.42,0.0
-55.5,-36.56,0.006836,13.38,0.0
-55.5,-23.14,0.0,10.12,0.0
-55.47,-36.56,0.0684,13.29,0.0
-55.47,-23.86,0.00399,7.59,0.0
-55.47,-43.44,0.04385,13.92,0.0
-55.44,-34.1,0.0731,13.375,0.0
-55.44,-63.72,0.0004466,25.11,0.0
-55.44,-45.56,0.001683,16.89,0.0
-55.4,-56.16,0.1123,22.47,0.0
-55.4,-46.8,0.05075,17.5,0.0
-55.4,-37.1,0.0,14.83,0.0
-55.38,-0.518,0.4458,0.1605,0.0
-55.38,-23.94,0.003937,7.594,0.0
-55.38,-57.62,0.1282,21.47,0.0
-55.38,-21.45,0.0,8.97,0.0
-55.34,-44.0,0.03714,15.22,0.0
-55.34,-39.56,1.293e-5,16.34,0.0
-55.34,-0.5186,0.446,0.1603,0.0
-55.3,-17.36,0.1466,6.992,0.0
-55.3,-47.7,0.0631,17.47,0.0
-55.3,-51.7,0.05872,19.2,0.0
-55.28,-35.25,0.01246,12.64,0.0
-55.28,-80.56,0.04715,32.44,0.0
-55.28,-35.28,2.0e-7,14.51,0.0
-55.25,-43.12,0.0837,15.875,0.0
-55.25,-30.88,0.008835,10.18,0.0
-55.25,-40.56,0.02339,14.66,0.0
-55.22,-28.92,0.02519,10.18,0.0
-55.22,-23.44,0.01854,6.734,0.0
-55.22,-3.266,0.0,1.382,0.0
-55.2,-34.62,0.00898,12.375,0.0
-55.2,-22.84,0.02516,7.008,0.0
-55.2,-0.52,0.4468,0.1595,0.0
-55.16,-20.27,0.0,8.34,0.0
-55.16,-69.75,0.003128,26.06,0.0
-55.16,-61.94,0.1892,23.05,0.0
-55.12,-25.23,0.0,10.57,0.0
-55.12,-30.75,6.0e-8,10.71,0.0
-55.12,-36.16,1.0e-7,14.625,0.0
-55.12,-24.75,978.0,10.195,0.0
-55.1,-42.5,0.02475,17.19,0.0
-55.1,-43.88,0.1748,16.83,0.0
-55.1,-66.7,0.533,20.19,0.0
-55.06,-0.521,0.4473,0.159,0.0
-55.06,-58.3,0.03955,21.53,0.0
-55.06,-18.44,0.001596,6.145,0.0
-55.03,-33.38,0.007195,11.836,0.0
-55.03,-0.5215,0.4475,0.1588,0.0
-55.03,-15.42,0.0936,5.418,0.0
-55.0,-60.88,0.000743,24.27,0.0
-55.0,-41.94,0.05157,15.41,0.0
-55.0,-73.06,0.04126,28.55,0.0
-54.97,-49.16,0.02995,17.78,0.0
-54.97,-16.42,0.0,7.023,0.0
-54.97,-42.9,0.0201,15.81,0.0
-54.94,-44.38,0.04224,14.25,0.0
-54.94,-52.6,0.01121,18.11,0.0
-54.94,-40.75,0.0009413,15.36,0.0
-54.9,-39.78,0.03192,12.44,0.0
-54.9,-11.375,0.07214,4.74,0.0
-54.9,-37.75,0.001109,13.76,0.0
-54.88,-66.0,0.07166,25.53,0.0
-54.88,-11.83,0.00909,3.777,0.0
-54.88,-55.22,0.0514,21.34,0.0
-54.88,-64.2,0.0649,23.33,0.0
